@relation mqp_features

@attribute dt numeric
@attribute x numeric
@attribute y numeric
@attribute z numeric
@attribute gx numeric
@attribute gy numeric
@attribute gz numeric
@attribute rx numeric
@attribute ry numeric
@attribute rz numeric
@attribute rw numeric

@data
1475604593067.000064,1.070574,0.015568,-1.131647,-0.022371,-0.006392,-0.005326,?,?,?,?
1475604593097.999872,1.026266,-0.032333,-1.071771,-0.029827,-0.003196,-0.006392,?,?,?,?
1475604593124,1.057401,0.03832,-0.938848,-0.024501,0,-0.002131,?,?,?,?
1475604593187.000064,0.998723,0.081431,-1.105301,-0.03835,-0.003196,0,?,?,?,?
1475604593198.000128,0.9137,-0.04311,-1.123264,-0.042611,-0.001065,-0.003196,?,?,?,?
1475604593207.000064,0.946033,-0.04311,-0.978365,-0.027697,0,-0.002131,?,?,?,?
1475604593257.999872,0.998723,0.117356,-1.113684,-0.023436,-0.001065,0,?,?,?,?
1475604593308,1.083746,0.058678,-1.070574,-0.011718,-0.003196,0,?,?,?,?
1475604593340,0.97118,0.068258,-1.078956,-0.013848,-0.003196,0.003196,?,?,?,?
1475604593369.999872,1.132844,0.092208,-1.090931,-0.014914,-0.003196,0.006392,?,?,?,?
1475604593399.000064,0.929268,0.150886,-1.074166,-0.011718,-0.005326,0.005326,?,?,?,?
1475604593404.999936,0.97597,0.132924,-0.989143,-0.010653,-0.001065,0.004261,?,?,?,?
1475604593457.999872,1.070574,0.049098,-1.035846,-0.025566,-0.001065,0.004261,?,?,?,?
1475604593488.999936,1.013093,0.017963,-1.004711,-0.022371,0,0.002131,?,?,?,?
1475604593516.999936,0.993933,0.035925,-1.058599,-0.021305,-0.004261,0.001065,?,?,?,?
1475604593547.000064,0.997526,0.082628,-0.984353,-0.013848,-0.004261,0,?,?,?,?
1475604593588,0.950823,0.022753,-1.169967,-0.017044,-0.006392,-0.001065,?,?,?,?
1475604593628.999936,1.029858,0.05269,-0.990341,-0.015979,0.012783,-0.004261,?,?,?,?
1475604593632.999936,1.001118,0.095801,-1.035846,-0.018109,0.010653,-0.008522,?,?,?,?
1475604593721.999872,1.025068,0.071851,-1.053809,-0.014914,0.010653,-0.012783,?,?,?,?
1475604593726.000128,0.90891,0.03353,-1.064586,-0.001065,0.012783,-0.015979,?,?,?,?
1475604593742.000128,0.983155,0.02874,-1.125659,-0.003196,0.002131,-0.007457,?,?,?,?
1475604593822.000128,0.981958,0.112566,-1.011896,0,0.026632,0,?,?,?,?
1475604593838.000128,0.979563,0.01916,-1.058599,0,0.024501,0.002131,?,?,?,?
